STT,Code,Diali,GDCD,Hoahoc,KHTN,KHXH,LichSu,Ngoaingu,Nguvan,Sinhhoc,Toan,Vatli,City
283265,01010488,,,8.0,6.67,,,7.6,7.5,4.5,8.8,7.50,01
283266,01010489,,,7.25,7.5,,,8.6,8.75,6.0,9.6,9.25,01
283267,01010490,,,8.75,6.58,,,9.6,7.0,4.0,9.8,7.00,01
283268,01010491,,,7.75,7.58,,,7.8,6.0,7.0,8.8,8.00,01
283269,01010492,,,6.25,6.08,,,7.0,7.75,4.5,8.6,7.50,01
283270,01010493,,,8.0,6.75,,,9.0,8.25,6.25,9.2,6.00,01
283271,01010494,,,3.0,4.42,,,5.0,7.0,3.0,9.0,7.25,01
283272,01010495,,,3.25,5.17,,,9.2,6.25,3.75,9.4,8.50,01
283273,01010496,,,3.5,4.33,,,8.0,6.5,5.75,8.4,3.75,01
283274,01010497,,,5.25,5.75,,,6.8,7.5,4.5,8.0,7.50,01
283275,01010498,8.25,9.75,,,8.17,6.5,8.8,7.5,,8.0,,01
283276,01010499,6.0,9.5,,,6.5,4.0,6.8,8.25,,7.4,,01
283277,01010500,,,3.25,4.67,,,9.0,4.0,3.25,8.6,7.50,01
283278,01010501,7.25,7.5,,,7.0,6.25,6.2,8.25,,7.0,,01
283279,01010502,5.75,6.75,,,5.17,3.0,3.2,6.5,,4.2,,01
283280,01010503,,,7.75,7.0,,,5.8,7.0,7.5,9.2,5.75,01
283281,01010504,,,5.5,5.08,,,8.8,7.0,3.75,8.2,6.00,01
283282,01010505,6.75,6.75,,,6.67,6.5,6.6,6.25,,6.2,,01
283283,01010506,,,3.25,5.33,,,7.8,7.75,5.5,8.2,7.25,01
283284,01010507,,,3.25,4.17,,,6.0,8.0,3.75,7.0,5.50,01
283285,01010508,,,3.25,5.42,,,5.6,7.0,5.0,8.4,8.00,01
283286,01010509,,,5.25,6.08,,,9.0,5.25,4.25,9.4,8.75,01
283287,01010510,7.25,8.75,,,7.83,7.5,8.6,7.0,,9.0,,01
283288,01010511,,,5.25,5.5,,,8.2,5.0,4.25,8.4,7.00,01
283289,01010512,,,3.75,4.92,,,8.0,7.0,3.75,9.2,7.25,01
283290,01010513,,,4.25,5.67,,,7.2,6.5,5.5,7.4,7.25,01
283291,01010514,,,8.0,6.5,,,5.8,7.25,4.0,8.8,7.50,01
283292,01010515,,,5.0,4.75,,,7.2,6.25,3.25,7.8,6.00,01
283293,01010516,8.0,8.75,,,7.58,6.0,2.0,7.0,,6.8,,01
283294,01010517,,,5.5,6.75,,,7.4,6.25,6.25,7.6,8.50,01
283295,01010518,,,4.5,5.08,,,8.8,6.0,4.5,7.8,6.25,01
283296,01010519,,,6.0,6.67,,,4.0,4.25,6.5,8.0,7.50,01
283297,01010520,,,9.75,8.33,,,7.8,5.25,5.75,9.0,9.50,01
283298,01010521,6.25,8.0,,,5.83,3.25,2.6,6.75,,5.8,,01
283299,01010522,,,6.75,6.75,,,8.4,7.0,5.25,8.4,8.25,01
283300,01010523,,,7.0,7.25,,,8.8,5.25,6.25,9.0,8.50,01
283301,01010524,,,5.25,6.25,,,7.8,6.5,5.25,9.2,8.25,01
283302,01010525,,,6.75,7.25,,,8.0,6.5,7.5,8.6,7.50,01
283303,01010526,,,4.25,5.42,,,8.6,7.5,3.75,9.0,8.25,01
283304,01010528,,,8.5,7.83,,,8.8,7.0,7.25,9.0,7.75,01
283305,01010529,6.25,7.5,,,6.5,5.75,5.4,6.5,,3.6,,01
283306,01010530,6.25,8.0,,,7.5,8.25,4.2,7.0,,6.4,,01
283307,01010531,,,8.25,6.67,,,6.0,7.75,4.5,8.6,7.25,01
283308,01010532,,,5.0,5.5,,,6.8,7.0,4.0,8.6,7.50,01
283309,01010533,,,8.0,7.58,,,9.4,6.5,6.5,9.2,8.25,01
283310,01010534,6.75,7.5,,,6.83,6.25,6.4,6.25,,5.4,,01
283311,01010535,7.75,8.25,,,6.75,4.25,9.0,8.75,,7.8,,01
283312,01010536,8.5,9.0,,,8.83,9.0,7.8,7.25,,7.4,,01
283313,01010537,8.5,8.75,,,8.75,9.0,8.2,7.75,,8.2,,01
283314,01010538,,,7.5,6.25,,,5.2,7.25,3.5,8.4,7.75,01
283315,01010539,,,6.0,6.17,,,4.6,7.0,5.25,8.6,7.25,01
283316,01010540,5.0,7.75,,,6.08,5.5,7.4,7.75,,7.6,,01
283317,01010541,,,4.0,3.58,,,7.6,6.5,3.25,8.6,3.50,01
283318,01010542,,,5.0,6.42,,,7.8,6.75,5.75,9.2,8.50,01
283319,01010543,,,2.25,3.17,,,4.0,7.0,3.5,6.0,3.75,01
283320,01010544,,,8.0,7.08,,,5.4,6.25,6.25,8.2,7.00,01
283321,01010545,6.5,8.5,,,6.17,3.5,2.4,5.5,,4.6,,01
283322,01010546,6.25,7.75,,,5.67,3.0,4.6,6.5,,7.0,,01
283323,01010547,,,8.0,6.83,,,8.0,6.25,5.0,8.6,7.50,01
283324,01010548,6.5,6.5,,,5.92,4.75,5.4,7.25,,7.2,,01
283325,01010549,,,5.75,6.42,,,7.6,7.0,5.25,8.8,8.25,01
283326,01010550,,,9.0,7.0,,,6.2,6.75,5.0,8.4,7.00,01
283327,01010551,,,5.0,5.83,,,6.0,6.25,5.5,7.4,7.00,01
283328,01010552,,,8.0,7.17,,,7.2,6.5,5.25,9.0,8.25,01
283329,01010553,,,7.25,6.5,,,7.0,6.75,4.25,7.4,8.00,01
283330,01010554,,,7.25,6.17,,,7.0,7.25,4.25,8.4,7.00,01
283331,01010555,,,6.25,6.75,,,5.4,7.5,6.75,7.6,7.25,01
283332,01010556,,,7.75,6.92,,,3.4,4.5,6.5,7.4,6.50,01
283333,01010557,,,4.75,5.92,,,6.4,5.5,5.25,9.0,7.75,01
283334,01010558,,,2.75,4.92,,,7.6,6.5,5.5,8.2,6.50,01
283335,01010559,,,5.0,6.17,,,8.4,5.5,4.5,9.4,9.00,01
283336,01010560,,,8.25,6.92,,,6.2,6.0,5.0,9.2,7.50,01
283337,01010561,,,4.75,5.92,,,8.4,5.75,5.25,8.4,7.75,01
283338,01010562,,,2.25,4.0,,,7.6,6.5,2.5,7.8,7.25,01
283339,01010563,,,4.5,5.25,,,8.4,7.25,5.5,7.8,5.75,01
283340,01010564,,,3.75,5.58,,,7.6,6.0,5.0,9.4,8.00,01
283341,01010565,,,5.0,5.08,,,7.2,5.75,2.25,9.2,8.00,01
283342,01010566,,,5.0,4.33,,,3.6,5.25,3.5,6.2,4.50,01
283343,01010567,,,5.25,4.08,,,3.0,4.5,4.0,6.6,3.00,01
283344,01010568,,,5.25,6.0,,,8.0,7.75,6.0,8.6,6.75,01
283345,01010569,,,6.25,6.25,,,8.0,6.25,3.5,9.4,9.00,01
283346,01010570,,,5.75,5.0,,,7.4,4.5,3.5,8.0,5.75,01
283347,01010571,,,3.0,5.17,,,9.0,6.25,5.5,9.2,7.00,01
283348,01010572,,,6.5,6.67,,,8.8,7.25,5.5,9.2,8.00,01
283349,01010573,,,8.5,8.17,,,4.6,4.5,7.25,9.4,8.75,01
283350,01010574,,,4.5,4.42,,,6.2,7.75,4.0,8.0,4.75,01
283351,01010575,,,5.5,7.08,,,9.0,7.75,6.5,9.4,9.25,01
283352,01010576,,,9.25,8.0,,,8.8,6.5,8.75,8.8,6.00,01
283353,01010577,,,6.75,6.83,,,8.4,7.0,5.25,8.6,8.50,01
283354,01010578,,,7.25,5.92,,,5.2,4.75,5.25,8.0,5.25,01
283355,01010579,,,7.75,6.0,,,5.2,5.42,4.0,8.4,6.25,01
283356,01010580,,,5.5,6.58,,,9.6,6.25,6.0,9.2,8.25,01
283357,01010581,,,5.75,5.67,,,7.8,5.25,4.0,8.4,7.25,01
283358,01010582,,,8.5,6.92,,,8.4,7.0,4.75,8.2,7.50,01
283359,01010583,,,7.75,7.08,,,3.0,7.0,5.0,9.0,8.50,01
283360,01010584,,,6.0,6.58,,,8.6,7.25,5.5,8.2,8.25,01
283361,01010585,,,5.5,4.0,,,7.2,7.0,3.5,8.8,3.00,01
