STT,Code,Diali,GDCD,Hoahoc,KHTN,KHXH,LichSu,Ngoaingu,Nguvan,Sinhhoc,Toan,Vatli,City
272862,01000001,,,,,,8.0,,6.0,,7.0,,01
272863,01000002,,,8.75,7.75,,,9.4,6.0,7.25,9.0,7.25,01
272864,01000003,,,8.75,7.25,,,6.0,6.5,4.75,8.8,8.25,01
272865,01000004,,,6.0,,,,8.2,,,7.0,,01
272866,01000005,7.25,9.25,,,7.42,5.75,9.2,7.5,,9.0,,01
272867,01000006,,,,,,,9.4,7.75,,7.8,,01
272868,01000007,5.0,8.25,,,5.33,2.75,4.4,7.0,,7.2,,01
272869,01000008,6.25,,,,,3.25,,3.0,,3.0,,01
272870,01000009,7.25,7.0,,,6.33,4.75,4.4,6.75,,7.4,,01
272871,01000010,,,4.75,5.08,,,4.6,6.5,5.5,8.0,5.00,01
272872,01000011,7.5,9.0,,,7.58,6.25,8.8,9.0,,8.4,,01
272873,01000012,4.25,,,,,3.5,,4.0,,1.4,,01
272874,01000013,,,5.75,6.17,,,7.6,6.75,5.0,8.4,7.75,01
272875,01000014,6.5,9.0,,,7.08,5.75,3.2,7.0,,2.6,,01
272876,01000015,,,4.0,5.0,,,7.2,6.75,7.75,8.0,3.25,01
272877,01000016,8.25,9.0,,,8.75,9.0,8.0,8.5,,9.0,,01
272878,01000017,2.5,7.25,,,5.25,6.0,4.4,5.75,,6.6,,01
272879,01000018,,,,,,4.75,,6.0,,4.0,,01
272880,01000019,,,7.75,6.83,,,6.4,6.0,4.75,7.8,8.00,01
272881,01000020,,,4.75,5.25,,,6.4,8.75,4.5,8.6,6.50,01
272882,01000021,,,6.75,5.42,,,7.0,7.0,4.0,8.8,5.50,01
272883,01000022,8.25,8.5,,,7.92,7.0,9.2,7.75,,8.8,,01
272884,01000023,5.75,8.0,,,5.42,2.5,5.0,7.0,,6.8,,01
272885,01000024,5.75,7.0,,,5.5,3.75,6.0,8.5,,7.8,,01
272886,01000025,8.0,7.75,,,6.83,4.75,6.0,6.5,,7.4,,01
272887,01000026,6.0,8.0,,,6.5,5.5,,7.5,,7.8,,01
272888,01000027,,,8.0,7.33,,,6.6,6.5,6.25,8.4,7.75,01
272889,01000028,,,4.5,5.67,,,6.4,8.0,3.75,8.8,8.75,01
272890,01000029,,,3.75,4.75,,,6.4,5.5,4.0,7.8,6.50,01
272891,01000030,6.5,8.75,,,6.33,3.75,4.0,6.25,,6.0,,01
272892,01000031,,,7.25,6.25,,,4.2,7.5,5.5,7.8,6.00,01
272893,01000032,,,,,,6.0,,5.5,,8.0,,01
272894,01000033,,,8.75,8.17,,,7.8,7.25,7.75,8.8,8.00,01
272895,01000034,6.5,8.25,,,6.67,5.25,7.6,8.5,,7.2,,01
272896,01000035,,,8.5,7.33,,,7.6,6.25,8.5,8.8,5.00,01
272897,01000036,8.25,9.5,,,8.42,7.5,9.0,8.5,,9.2,,01
272898,01000037,,,5.75,6.83,,,9.0,6.5,7.0,9.2,7.75,01
272899,01000038,,,8.5,7.42,,,6.6,6.75,5.5,9.2,8.25,01
272900,01000039,7.0,7.5,,,6.83,6.0,5.0,6.0,,7.8,,01
272901,01000040,,,,,,5.5,,5.0,,5.6,,01
272902,01000041,7.5,7.5,,,6.75,5.25,7.6,8.0,,8.0,,01
272903,01000042,6.75,,,,,4.0,,6.75,,4.2,,01
272904,01000043,,,7.0,4.33,,,7.2,4.5,3.0,8.8,3.00,01
272905,01000044,7.75,8.0,,,7.5,6.75,8.6,8.75,,8.4,,01
272906,01000045,5.75,,,,,4.5,,3.75,,3.4,,01
272907,01000046,4.75,,,,,2.5,,3.5,,3.2,,01
272908,01000047,6.0,7.0,,,6.08,5.25,2.4,7.25,,2.2,,01
272909,01000048,7.75,8.25,,,7.58,6.75,7.6,6.75,,8.4,,01
272910,01000049,7.25,8.5,,,7.0,5.25,7.4,7.75,,7.2,,01
272911,01000050,5.5,6.75,,,6.08,6.0,7.8,9.0,,8.8,,01
272912,01000051,8.0,8.5,,,7.25,5.25,8.8,8.0,,8.2,,01
272913,01000052,5.75,7.0,,,5.75,4.5,,6.5,,6.4,,01
272914,01000053,5.5,9.75,,,6.83,5.25,2.8,8.5,,4.6,,01
272915,01000054,7.75,9.25,,,8.58,8.75,9.0,8.75,,9.0,,01
272916,01000055,8.25,7.5,,,7.0,5.25,6.6,8.75,,7.0,,01
272917,01000056,8.5,8.0,,,8.5,9.0,8.4,8.75,,8.6,,01
272918,01000057,,,4.0,5.83,,,7.0,7.5,5.0,8.6,8.50,01
272919,01000058,,,,,,5.5,,6.0,,7.0,,01
272920,01000059,7.25,8.5,,,7.08,5.5,7.8,6.0,,8.2,,01
272921,01000060,7.75,8.5,,,6.83,4.25,7.0,7.5,,8.8,,01
272922,01000061,,,3.5,3.58,,,4.0,6.5,2.0,6.6,5.25,01
272923,01000062,7.25,8.5,,,7.42,6.5,8.8,9.0,,8.6,,01
272924,01000063,8.5,9.0,,,8.75,8.75,7.2,7.0,,5.4,,01
272925,01000064,6.5,7.75,,,6.17,4.25,8.0,7.25,,7.0,,01
272926,01000065,,,6.5,5.5,,,7.0,6.75,5.75,7.0,4.25,01
272927,01000066,6.75,8.5,,,6.58,4.5,6.2,6.0,,7.8,,01
272928,01000067,,,4.75,5.25,,,7.2,6.0,5.25,8.0,5.75,01
272929,01000068,9.5,9.25,,,9.33,9.25,7.2,7.5,,8.0,,01
272930,01000069,8.0,9.25,,,8.08,7.0,8.8,7.75,,8.2,,01
272931,01000070,7.5,6.5,,,6.25,4.75,6.0,7.0,,7.4,,01
272932,01000071,,,5.0,5.33,,,8.6,7.0,3.75,7.4,7.25,01
272933,01000072,5.25,7.0,,,5.17,3.25,5.4,5.5,,3.4,,01
272934,01000073,,,8.0,6.33,,,8.2,4.5,5.5,8.0,5.50,01
272935,01000074,7.75,9.25,,,7.5,5.5,2.8,7.5,,8.8,,01
272936,01000075,7.25,8.75,,,7.08,5.25,5.4,8.25,,7.8,,01
272937,01000076,8.5,8.25,,,7.58,6.0,6.2,8.0,,7.0,,01
272938,01000077,9.0,8.25,,,8.42,8.0,5.6,7.25,,6.0,,01
272939,01000078,7.5,9.0,,,7.33,5.5,7.4,7.5,,9.0,,01
272940,01000079,,,3.25,4.5,,,5.8,6.5,3.25,8.8,7.00,01
272941,01000080,7.0,8.5,,,6.75,4.75,7.0,7.0,,6.2,,01
272942,01000081,7.75,7.75,,,7.5,7.0,6.4,7.5,,8.0,,01
272943,01000082,8.0,8.5,,,7.67,6.5,9.8,7.5,,8.4,,01
272944,01000083,6.75,7.5,,,6.42,5.0,6.4,7.0,,8.0,,01
272945,01000084,7.0,8.0,,,6.42,4.25,5.4,6.75,,8.0,,01
272946,01000085,7.25,8.5,,,6.83,4.75,5.2,6.75,,6.2,,01
272947,01000086,6.25,7.5,,,5.83,3.75,5.4,7.25,,8.4,,01
272948,01000087,5.75,7.75,,,6.5,6.0,7.2,7.25,,4.8,,01
272949,01000088,8.75,9.75,,,9.08,8.75,8.4,8.0,,8.8,,01
272950,01000089,7.75,9.25,,,8.17,7.5,6.4,7.25,,6.0,,01
272951,01000090,7.5,8.0,,,7.17,6.0,9.0,8.0,,8.4,,01
272952,01000091,,,5.0,6.0,,,7.8,6.25,5.5,8.6,7.50,01
272953,01000092,5.5,7.25,,,5.83,4.75,,6.5,,5.8,,01
272954,01000093,7.0,8.5,,,6.5,4.0,6.0,7.0,,7.4,,01
272955,01000094,6.75,8.0,,,6.17,3.75,8.6,8.0,,9.0,,01
272956,01000095,6.0,7.5,,,6.08,4.75,6.8,7.5,,8.4,,01
272957,01000096,,,2.25,4.0,,,7.6,5.75,4.25,7.0,5.50,01
272958,01000097,7.0,9.0,,,6.83,4.5,8.0,7.25,,9.0,,01
272959,01000098,,,5.25,5.83,,,5.6,8.5,5.75,7.8,6.50,01
272960,01000099,,,8.25,7.83,,,6.0,5.75,6.75,8.8,8.50,01
272961,01000100,6.5,9.0,,,7.17,6.0,6.6,7.75,,6.2,,01
272962,01000101,6.25,,,,,3.25,,5.5,,3.0,,01
272963,01000102,6.75,8.5,,,7.08,6.0,6.6,7.75,,8.4,,01
272964,01000103,4.5,,,,,4.75,,3.75,,3.4,,01
272965,01000104,,,7.25,6.42,,,6.0,6.0,4.75,8.4,7.25,01
272966,01000105,,,7.0,7.17,,,9.4,6.5,6.25,8.0,8.25,01
272967,01000106,6.5,8.75,,,6.67,4.75,8.0,6.0,,6.8,,01
272968,01000107,,,6.0,6.67,,,9.4,7.25,5.5,8.6,8.50,01
272969,01000108,5.5,,,,,4.25,,3.0,,2.4,,01
272970,01000109,6.75,7.75,,,5.75,2.75,5.6,6.25,,8.0,,01
272971,01000110,7.25,9.0,,,7.5,6.25,9.2,8.25,,8.2,,01
272972,01000111,5.75,7.75,,,6.08,4.75,7.0,7.25,,7.8,,01
272973,01000112,6.25,8.75,,,6.17,3.5,4.4,7.0,,4.4,,01
272974,01000113,5.75,8.0,,,5.92,4.0,7.0,7.5,,7.4,,01
272975,01000114,5.5,8.0,,,5.83,4.0,3.2,6.5,,4.4,,01
272976,01000115,7.75,8.0,,,6.92,5.0,8.0,6.5,,8.2,,01
272977,01000116,,,,,,,6.2,7.5,,7.6,,01
272978,01000117,7.0,7.75,,,5.83,2.75,7.6,7.5,,8.8,,01
272979,01000118,6.25,8.25,,,6.5,5.0,8.0,8.5,,8.6,,01
272980,01000119,,,8.5,6.58,,,6.8,6.25,8.0,9.4,3.25,01
272981,01000120,7.5,9.25,,,8.08,7.5,7.8,9.0,,8.6,,01
272982,01000121,,,5.0,6.83,,,7.4,6.0,6.75,9.2,8.75,01
272983,01000122,,,4.0,5.5,,,5.2,6.25,4.5,8.6,8.00,01
272984,01000123,4.25,,,,,4.75,,3.75,,3.6,,01
272985,01000124,,,4.75,4.42,,,4.0,6.25,2.5,7.4,6.00,01
272986,01000125,7.75,9.0,,,8.67,9.25,5.2,8.75,,7.2,,01
272987,01000126,8.75,8.25,,,8.75,9.25,8.6,7.25,,7.2,,01
272988,01000127,,,,,,4.25,,4.25,,4.4,,01
272989,01000128,6.5,7.75,,,6.17,4.25,7.4,7.75,,8.8,,01
272990,01000129,7.25,7.5,,,7.0,6.25,8.2,6.75,,4.0,,01
272991,01000130,7.75,9.25,,,7.67,6.0,6.8,7.25,,8.6,,01
272992,01000131,6.75,8.5,,,7.25,6.5,8.0,7.5,,8.0,,01
272993,01000132,,,8.5,6.0,,,4.0,6.25,4.0,9.0,5.50,01
272994,01000133,,,,,,,8.6,7.5,,8.0,,01
272995,01000134,,,5.5,5.83,,,8.8,6.5,5.25,7.4,6.75,01
272996,01000135,,,,,,,8.0,7.75,,8.2,,01
272997,01000136,,,,,,,7.2,7.25,,7.2,,01
272998,01000137,,,8.25,5.08,,,5.2,6.0,3.0,7.4,4.00,01
272999,01000138,,,,,,4.75,,4.75,,3.2,,01
273000,01000139,8.5,9.25,,,8.83,8.75,9.2,9.0,,8.0,,01
273001,01000140,,,8.0,7.25,,,6.6,5.0,6.0,9.0,7.75,01
273002,01000141,7.5,8.0,,,6.92,5.25,3.0,7.5,,3.6,,01
273003,01000142,7.0,9.5,,,7.33,5.5,4.6,6.75,,7.0,,01
273004,01000143,7.0,9.0,,,8.08,8.25,7.6,7.75,,9.0,,01
273005,01000144,,,4.5,5.0,,,7.8,5.75,4.5,8.4,6.00,01
273006,01000145,6.5,8.25,,,6.17,3.75,3.2,7.0,,4.2,,01
273007,01000146,7.75,9.25,,,7.92,6.75,8.0,6.5,,8.0,,01
273008,01000147,7.5,9.5,,,8.75,9.25,3.4,8.75,,5.0,,01
273009,01000148,,,5.25,5.25,,,3.4,5.25,4.25,7.2,6.25,01
273010,01000149,,,9.25,7.0,,,7.6,6.25,5.75,8.8,6.00,01
273011,01000150,7.25,7.5,,,7.17,6.75,6.8,8.0,,9.0,,01
273012,01000151,6.75,8.25,,,7.08,6.25,8.4,8.0,,8.4,,01
273013,01000152,7.5,9.0,,,6.75,3.75,2.0,7.0,,7.0,,01
273014,01000153,,,6.25,6.42,,,8.6,6.25,5.0,9.0,8.00,01
273015,01000154,,,,,,,7.0,7.0,,7.6,,01
273016,01000155,7.25,7.5,,,7.0,6.25,6.2,7.5,,8.8,,01
273017,01000156,7.0,7.75,,,6.5,4.75,8.6,8.75,,9.4,,01
273018,01000157,8.0,9.5,,,8.42,7.75,9.0,8.5,,8.4,,01
273019,01000158,,,9.5,6.92,,,6.6,5.75,4.5,8.8,6.75,01
273020,01000159,,,8.25,7.17,,,7.6,6.25,5.0,8.6,8.25,01
273021,01000160,7.0,,,,,6.0,5.8,4.5,,3.6,,01
273022,01000161,,,7.25,7.25,,,8.8,6.25,6.25,9.0,8.25,01
273023,01000162,7.75,7.5,,,8.08,9.0,,7.25,,7.8,,01
273024,01000163,6.75,8.75,,,7.33,6.5,5.4,7.5,,7.8,,01
273025,01000164,8.0,8.75,,,8.67,9.25,7.8,8.75,,8.4,,01
273026,01000165,6.25,10.0,,,7.67,6.75,8.2,8.75,,8.2,,01
273027,01000166,8.25,8.0,,,6.83,4.25,5.8,8.25,,8.4,,01
273028,01000167,8.5,9.75,,,8.5,7.25,8.6,8.0,,9.0,,01
273029,01000168,6.5,8.0,,,6.33,4.5,2.8,7.0,,7.0,,01
273030,01000169,,,6.0,6.67,,,5.4,7.25,7.0,9.0,7.00,01
273031,01000170,,,7.75,7.42,,,6.4,6.75,7.25,8.6,7.25,01
273032,01000171,7.5,8.25,,,7.0,5.25,4.4,5.25,,6.6,,01
273033,01000172,,,6.5,6.83,,,9.0,7.75,6.0,9.4,8.00,01
273034,01000173,7.75,8.0,,,7.42,6.5,7.4,8.0,,9.4,,01
273035,01000174,5.75,8.5,,,6.5,5.25,3.4,6.5,,6.6,,01
273036,01000175,6.0,9.0,,,6.67,5.0,3.0,7.5,,4.6,,01
273037,01000176,7.5,8.25,,,7.0,5.25,7.6,7.25,,8.2,,01
273038,01000177,6.25,7.25,,,6.0,4.5,8.6,8.0,,9.4,,01
273039,01000178,8.0,9.0,,,7.0,4.0,7.0,6.75,,8.8,,01
273040,01000179,7.25,8.75,,,7.17,5.5,8.4,8.0,,8.0,,01
273041,01000180,8.75,7.75,,,8.5,9.0,4.8,8.75,,6.4,,01
273042,01000181,7.5,9.75,,,8.25,7.5,8.2,8.25,,9.0,,01
273043,01000182,6.5,8.25,,,7.17,6.75,6.0,8.0,,8.8,,01
273044,01000183,6.75,9.0,,,7.25,6.0,4.8,5.0,,7.2,,01
273045,01000184,7.5,8.25,,,8.25,9.0,7.4,7.75,,8.4,,01
273046,01000185,8.25,9.25,,,8.08,6.75,7.4,7.0,,8.8,,01
273047,01000186,,,6.5,6.0,,,6.2,7.75,4.5,7.8,7.00,01
273048,01000187,4.75,,,,,5.25,,4.75,,5.0,,01
273049,01000188,7.75,8.25,,,7.25,5.75,3.6,7.0,,4.2,,01
273050,01000189,7.0,9.0,,,7.58,6.75,8.0,7.5,,8.2,,01
273051,01000190,7.25,8.25,,,7.0,5.5,6.2,7.75,,7.2,,01
273052,01000191,8.25,8.5,,,8.08,7.5,8.4,7.75,,8.6,,01
273053,01000192,7.75,8.25,,,7.0,5.0,7.6,6.25,,8.0,,01
273054,01000193,,,2.75,5.08,,,7.8,5.75,4.25,9.0,8.25,01
273055,01000194,6.0,9.25,,,6.92,5.5,4.8,7.0,,5.6,,01
273056,01000195,8.25,7.75,,,6.67,4.0,8.4,8.0,,7.8,,01
273057,01000196,,,7.5,7.42,,,9.4,5.0,6.5,9.0,8.25,01
273058,01000197,7.5,7.75,,,7.17,6.25,7.8,8.5,,7.4,,01
273059,01000198,6.75,8.25,,,6.75,5.25,7.6,8.25,,8.4,,01
273060,01000199,7.75,8.75,,,8.17,8.0,7.0,8.25,,4.2,,01
273061,01000200,7.5,8.5,,,7.17,5.5,7.6,8.0,,8.0,,01
273062,01000201,8.25,9.75,,,9.08,9.25,5.4,7.5,,6.2,,01
273063,01000202,7.75,8.75,,,7.92,7.25,5.2,7.0,,8.2,,01
273064,01000203,7.0,8.5,,,6.83,5.0,7.4,7.25,,9.0,,01
273065,01000204,,,7.75,5.0,,,7.6,5.75,3.75,8.0,3.50,01
273066,01000205,8.25,9.25,,,8.25,7.25,9.0,8.0,,8.6,,01
273067,01000206,,,4.75,5.5,,,6.4,6.5,5.25,8.4,6.50,01
273068,01000207,,,3.0,4.83,,,7.4,5.0,5.25,9.0,6.25,01
273069,01000208,6.5,8.75,,,6.25,3.5,6.8,7.0,,7.2,,01
273070,01000209,6.75,7.75,,,5.83,3.0,6.6,7.5,,8.8,,01
273071,01000210,,,,,,,8.6,7.0,,8.8,,01
273072,01000211,7.75,8.25,,,7.17,5.5,8.6,8.0,,8.2,,01
273073,01000212,,,5.0,5.42,,,8.6,8.5,3.75,8.8,7.50,01
273074,01000213,,,8.5,6.83,,,9.2,7.5,6.5,9.0,5.50,01
273075,01000214,6.25,8.0,,,6.58,5.5,8.4,8.5,,7.2,,01
273076,01000215,7.0,8.0,,,6.92,5.75,7.2,8.5,,9.0,,01
273077,01000216,7.75,8.5,,,7.33,5.75,7.6,7.5,,8.8,,01
273078,01000217,6.25,7.5,,,6.08,4.5,7.0,7.0,,7.2,,01
273079,01000218,,,8.0,6.42,,,5.8,5.75,3.5,8.6,7.75,01
273080,01000219,6.25,9.0,,,6.75,5.0,4.0,8.25,,7.4,,01
273081,01000220,7.5,9.75,,,7.58,5.5,8.2,7.0,,8.4,,01
273082,01000221,8.0,9.25,,,8.08,7.0,5.0,8.0,,5.6,,01
273083,01000222,7.5,9.0,,,7.0,4.5,7.6,7.0,,8.4,,01
273084,01000223,6.75,9.25,,,7.08,5.25,3.2,7.5,,4.8,,01
273085,01000224,8.0,8.25,,,7.92,7.5,7.4,8.75,,8.8,,01
273086,01000225,4.5,6.0,,,4.67,3.5,1.6,6.0,,2.6,,01
273087,01000226,7.25,7.75,,,7.0,6.0,5.8,8.25,,8.0,,01
273088,01000227,6.75,7.5,,,7.08,7.0,6.4,7.0,,5.0,,01
273089,01000228,7.0,9.0,,,7.83,7.5,5.8,8.0,,8.0,,01
273090,01000229,8.25,9.0,,,8.17,7.25,8.2,7.25,,9.0,,01
273091,01000230,,,7.25,6.58,,,5.6,7.25,4.5,8.2,8.00,01
273092,01000231,3.25,8.0,,,5.42,5.0,6.4,8.75,,4.6,,01
273093,01000232,,,3.75,5.33,,,6.6,4.5,4.5,8.2,7.75,01
273094,01000233,,,,,,5.25,,6.5,,6.8,,01
273095,01000234,,,6.0,5.75,,,7.4,4.0,4.0,9.2,7.25,01
273096,01000235,,,7.75,6.08,,,4.6,6.0,3.5,8.6,7.00,01
273097,01000236,,,,,,9.75,,6.5,,8.6,,01
273098,01000237,7.25,,,,,7.0,,5.0,,5.4,,01
273099,01000238,,,6.0,6.08,,,7.6,7.0,4.75,9.2,7.50,01
273100,01000239,8.25,8.5,,,8.08,7.5,8.4,8.0,,8.0,,01
273101,01000240,,,,,,9.0,,7.0,,8.0,,01
273102,01000241,7.25,9.0,,,6.92,4.5,4.8,6.0,,7.4,,01
273103,01000242,7.25,8.5,,,8.0,8.25,8.2,8.25,,7.8,,01
273104,01000243,6.25,8.0,,,5.92,3.5,3.0,6.5,,3.4,,01
273105,01000244,,,8.75,7.17,,,5.8,7.5,4.5,8.8,8.25,01
273106,01000245,7.0,8.75,,,7.08,5.5,9.0,6.5,,8.8,,01
273107,01000246,8.25,9.25,,,8.25,7.25,8.4,8.75,,8.4,,01
273108,01000247,6.0,7.25,,,6.08,5.0,7.2,7.25,,7.4,,01
273109,01000248,,,3.75,4.5,,,8.0,6.25,1.75,8.6,8.00,01
273110,01000249,6.75,8.0,,,7.17,6.75,7.0,7.5,,6.8,,01
273111,01000250,7.25,8.25,,,6.33,3.5,7.6,8.0,,9.0,,01
273112,01000251,8.5,8.5,,,8.25,7.75,8.4,7.5,,8.0,,01
273113,01000252,8.0,8.5,,,6.92,4.25,5.4,7.0,,5.4,,01
273114,01000253,,,3.5,5.17,,,5.6,4.25,4.5,8.2,7.50,01
273115,01000254,7.75,9.0,,,7.67,6.25,8.0,7.0,,8.8,,01
273116,01000255,,,7.75,6.42,,,6.6,7.0,3.75,8.4,7.75,01
273117,01000256,,,6.0,6.0,,,5.0,7.25,5.25,7.2,6.75,01
273118,01000257,7.75,8.75,,,7.58,6.25,8.8,7.75,,7.8,,01
273119,01000258,,,7.0,6.33,,,5.6,7.25,5.25,9.0,6.75,01
273120,01000259,7.25,9.25,,,8.0,7.5,9.0,8.5,,8.8,,01
273121,01000260,7.75,7.5,,,6.75,5.0,8.0,8.25,,7.2,,01
273122,01000261,,,8.25,8.0,,,7.8,6.5,7.0,9.2,8.75,01
273123,01000262,7.25,8.25,,,7.5,7.0,8.4,8.0,,8.8,,01
273124,01000263,,,6.25,6.17,,,7.6,7.75,5.0,8.2,7.25,01
273125,01000264,5.5,,,,,4.5,,4.25,,4.0,,01
273126,01000265,,,7.5,5.83,,,7.8,7.0,4.75,8.0,5.25,01
273127,01000266,6.25,6.5,,,5.42,3.5,7.6,6.5,,7.8,,01
273128,01000267,6.75,7.75,,,6.92,6.25,4.8,7.25,,6.0,,01
273129,01000268,7.75,7.25,,,6.0,3.0,7.0,7.0,,7.0,,01
273130,01000269,,,5.75,5.33,,,8.0,8.0,3.75,9.2,6.50,01
273131,01000270,7.75,,,,,6.0,,6.5,,8.2,,01
273132,01000271,,,7.5,5.08,,,8.4,6.5,4.5,7.4,3.25,01
273133,01000272,6.0,9.0,,,7.17,6.5,8.6,8.0,,8.6,,01
273134,01000273,7.25,7.75,,,6.92,5.75,7.4,8.0,,8.2,,01
273135,01000274,7.25,7.75,,,6.67,5.0,9.2,7.5,,8.6,,01
273136,01000275,5.25,,,,,4.0,,6.0,,3.4,,01
273137,01000276,6.25,6.75,,,5.83,4.5,8.0,7.0,,7.2,,01
273138,01000277,7.25,8.25,,,5.75,1.75,2.4,7.5,,6.0,,01
273139,01000278,,,3.0,4.0,,,6.0,4.25,2.75,7.8,6.25,01
273140,01000279,7.5,9.0,,,8.33,8.5,6.6,7.25,,7.8,,01
273141,01000280,,,7.75,6.67,,,6.0,6.5,8.0,7.2,4.25,01
273142,01000281,6.75,7.25,,,6.5,5.5,6.6,7.25,,6.6,,01
273143,01000282,6.75,8.0,,,7.33,7.25,8.6,8.0,,7.2,,01
273144,01000283,,,7.0,6.5,,,5.2,6.5,5.0,8.6,7.50,01
273145,01000284,7.0,9.25,,,6.33,2.75,7.6,8.5,,7.4,,01
273146,01000285,6.0,8.75,,,6.33,4.25,8.2,8.5,,8.0,,01
273147,01000286,9.25,9.5,,,8.83,7.75,6.0,7.0,,6.0,,01
273148,01000287,6.5,7.5,,,6.58,5.75,5.6,8.25,,7.6,,01
273149,01000288,6.25,6.5,,,6.17,5.75,5.6,7.5,,6.4,,01
273150,01000289,7.0,6.75,,,6.42,5.5,6.4,8.5,,8.2,,01
273151,01000290,7.75,8.5,,,6.83,4.25,6.0,8.5,,9.4,,01
273152,01000291,7.75,8.0,,,7.25,6.0,7.0,7.5,,8.8,,01
273153,01000292,8.0,8.75,,,7.0,4.25,7.6,5.75,,7.0,,01
273154,01000293,4.75,7.25,,,5.92,5.75,3.2,5.0,,5.0,,01
273155,01000294,7.25,8.75,,,6.08,2.25,4.6,6.5,,7.4,,01
273156,01000295,8.5,8.25,,,8.42,8.5,6.0,7.75,,8.6,,01
273157,01000296,,,7.5,7.08,,,7.0,8.0,6.25,9.0,7.50,01
273158,01000297,,,,,,6.25,,4.0,,3.6,,01
273159,01000298,,,5.5,6.08,,,6.8,7.0,4.75,8.6,8.00,01
273160,01000299,7.5,8.25,,,6.42,3.5,6.8,7.0,,5.4,,01
273161,01000300,7.25,8.5,,,8.25,9.0,8.4,7.75,,8.8,,01
273162,01000301,7.75,9.5,,,8.25,7.5,9.4,8.5,,9.0,,01
273163,01000302,7.75,7.75,,,7.0,5.5,4.8,6.25,,7.8,,01
273164,01000303,7.75,8.5,,,7.08,5.0,8.0,8.5,,8.0,,01
273165,01000304,,,6.0,5.08,,,5.8,7.25,5.5,6.4,3.75,01
273166,01000305,7.25,7.5,,,7.0,6.25,5.2,7.0,,6.8,,01
273167,01000306,5.75,7.25,,,5.42,3.25,6.4,8.0,,5.8,,01
273168,01000307,7.5,8.5,,,7.0,5.0,8.2,8.25,,9.0,,01
273169,01000308,7.25,7.75,,,6.58,4.75,5.0,7.0,,6.8,,01
273170,01000309,,,,,,8.5,,8.25,,8.4,,01
273171,01000310,7.75,8.75,,,8.08,7.75,8.4,7.0,,8.0,,01
273172,01000311,6.75,8.75,,,7.33,6.5,8.4,4.75,,8.0,,01
273173,01000312,5.5,,,,,4.0,,2.5,,3.0,,01
273174,01000313,,,8.25,7.5,,,6.0,6.0,5.75,9.2,8.50,01
273175,01000314,8.75,9.0,,,8.83,8.75,6.6,8.0,,8.0,,01
273176,01000315,7.25,7.75,,,7.0,6.0,8.2,7.0,,8.8,,01
273177,01000316,,,6.0,5.0,,,8.0,7.75,6.0,8.0,3.00,01
273178,01000317,8.5,8.5,,,7.83,6.5,5.6,7.5,,8.2,,01
273179,01000318,6.75,9.0,,,6.92,5.0,8.8,8.0,,7.0,,01
273180,01000319,4.0,,,,,4.25,,4.25,,2.2,,01
273181,01000320,8.0,8.75,,,7.25,5.0,6.0,7.25,,6.8,,01
273182,01000321,,,,,,,6.4,8.0,,5.8,,01
273183,01000322,8.0,9.25,,,8.33,7.75,7.6,8.5,,8.4,,01
273184,01000323,7.75,9.5,,,7.33,4.75,8.4,8.25,,7.4,,01
273185,01000324,9.0,8.25,,,8.58,8.5,8.8,8.5,,9.0,,01
273186,01000325,6.75,8.75,,,7.0,5.5,4.8,8.0,,7.4,,01
273187,01000326,8.75,7.5,,,7.92,7.5,8.0,7.75,,8.6,,01
273188,01000327,7.0,8.0,,,6.33,4.0,7.2,8.25,,8.6,,01
273189,01000328,7.75,7.0,,,6.83,5.75,6.0,8.0,,8.4,,01
273190,01000329,6.0,8.0,,,6.5,5.5,7.2,7.25,,5.4,,01
273191,01000330,6.75,7.5,,,5.92,3.5,8.6,8.5,,8.8,,01
273192,01000331,7.25,8.75,,,7.42,6.25,7.8,7.5,,7.0,,01
273193,01000332,8.5,9.25,,,8.92,9.0,5.8,7.75,,8.2,,01
273194,01000333,5.75,7.0,,,5.5,3.75,7.2,7.75,,8.6,,01
273195,01000334,7.5,9.5,,,7.33,5.0,9.0,8.75,,9.2,,01
273196,01000335,5.5,6.75,,,5.58,4.5,2.0,4.75,,7.8,,01
273197,01000336,5.75,7.5,,,5.67,3.75,6.6,8.75,,8.2,,01
273198,01000337,7.75,7.0,,,6.25,4.0,3.0,6.75,,4.4,,01
273199,01000338,6.75,8.25,,,7.17,6.5,8.2,7.5,,7.8,,01
273200,01000339,6.75,8.0,,,6.92,6.0,6.8,7.25,,8.6,,01
273201,01000340,6.75,8.0,,,7.17,6.75,4.6,6.0,,7.8,,01
273202,01000341,7.0,8.75,,,6.83,4.75,8.2,7.25,,8.4,,01
273203,01000342,6.75,7.25,,,6.17,4.5,6.0,7.0,,4.6,,01
273204,01000343,7.5,8.5,,,7.5,6.5,5.4,3.75,,5.0,,01
273205,01000344,6.0,7.5,,,6.08,4.75,8.0,8.0,,7.6,,01
273206,01000345,6.5,6.5,,,5.83,4.5,6.6,5.5,,6.0,,01
273207,01000346,,,,,,1.5,,4.5,,2.4,,01
273208,01000347,6.75,8.5,,,6.92,5.5,6.6,7.0,,9.0,,01
273209,01000348,,,,,,5.75,,5.25,,2.6,,01
273210,01000349,,,3.5,3.75,,,8.2,6.75,4.0,7.0,3.75,01
273211,01000350,,,,,,,5.4,6.5,,6.2,,01
